Voltage (V), Current (A), Standard Deviation (A), Pressure (Torr), Measurement delay (s), TC7, TC8
0.00000E+0, -1.18500E-13, 4.27452E-11, 0.00000E+0, 3.00000E+1, 0.00000E+0, 0.00000E+0
1.00000E+1, 7.45279E-10, 1.58193E-11, 0.00000E+0, 3.00000E+1, 0.00000E+0, 0.00000E+0
2.00000E+1, 1.66556E-9, 4.45294E-11, 0.00000E+0, 3.00000E+1, 0.00000E+0, 0.00000E+0
3.00000E+1, 2.62818E-9, 3.18242E-10, 0.00000E+0, 3.00000E+1, 0.00000E+0, 0.00000E+0
4.00000E+1, 3.50454E-9, 1.12173E-10, 0.00000E+0, 3.00000E+1, 0.00000E+0, 0.00000E+0
5.00000E+1, 4.42611E-9, 2.82753E-10, 0.00000E+0, 3.00000E+1, 0.00000E+0, 0.00000E+0
6.00000E+1, 5.29813E-9, 2.54699E-10, 0.00000E+0, 3.00000E+1, 0.00000E+0, 0.00000E+0
7.00000E+1, 6.20019E-9, 2.40397E-10, 0.00000E+0, 3.00000E+1, 0.00000E+0, 0.00000E+0
8.00000E+1, 7.06243E-9, 3.50401E-10, 0.00000E+0, 3.00000E+1, 0.00000E+0, 0.00000E+0
9.00000E+1, 7.94350E-9, 1.84380E-10, 0.00000E+0, 3.00000E+1, 0.00000E+0, 0.00000E+0
1.00000E+2, 8.85064E-9, 3.55235E-10, 0.00000E+0, 3.00000E+1, 0.00000E+0, 0.00000E+0
1.10000E+2, 9.73700E-9, 8.32901E-11, 0.00000E+0, 3.00000E+1, 0.00000E+0, 0.00000E+0
1.20000E+2, 1.06307E-8, 3.20773E-10, 0.00000E+0, 3.00000E+1, 0.00000E+0, 0.00000E+0
1.30000E+2, 1.15090E-8, 1.39044E-10, 0.00000E+0, 3.00000E+1, 0.00000E+0, 0.00000E+0
1.40000E+2, 1.25080E-8, 2.74342E-10, 0.00000E+0, 3.00000E+1, 0.00000E+0, 0.00000E+0
1.50000E+2, 1.33927E-8, 2.80771E-10, 0.00000E+0, 3.00000E+1, 0.00000E+0, 0.00000E+0
1.60000E+2, 1.41939E-8, 2.32858E-10, 0.00000E+0, 3.00000E+1, 0.00000E+0, 0.00000E+0
1.70000E+2, 1.51519E-8, 3.51526E-10, 0.00000E+0, 3.00000E+1, 0.00000E+0, 0.00000E+0
1.80000E+2, 1.60552E-8, 1.65171E-10, 0.00000E+0, 3.00000E+1, 0.00000E+0, 0.00000E+0
1.90000E+2, 1.69881E-8, 3.49251E-10, 0.00000E+0, 3.00000E+1, 0.00000E+0, 0.00000E+0
2.00000E+2, 1.79003E-8, 7.24449E-11, 0.00000E+0, 3.00000E+1, 0.00000E+0, 0.00000E+0
