Voltage (V), Current (A), Standard Deviation (A), Pressure (Torr), Measurement delay (s), TC7, TC8
0.00000E+0, 9.01000E-13, 3.62344E-11, 0.00000E+0, 1.00000E+1, 0.00000E+0, 0.00000E+0
1.00000E+1, 8.42199E-10, 3.10978E-11, 0.00000E+0, 1.00000E+1, 0.00000E+0, 0.00000E+0
2.00000E+1, 1.65268E-9, 4.31552E-11, 0.00000E+0, 1.00000E+1, 0.00000E+0, 0.00000E+0
3.00000E+1, 2.52600E-9, 2.56651E-10, 0.00000E+0, 1.00000E+1, 0.00000E+0, 0.00000E+0
4.00000E+1, 3.37481E-9, 2.66414E-10, 0.00000E+0, 1.00000E+1, 0.00000E+0, 0.00000E+0
5.00000E+1, 4.21055E-9, 2.24782E-10, 0.00000E+0, 1.00000E+1, 0.00000E+0, 0.00000E+0
6.00000E+1, 5.05610E-9, 3.51927E-10, 0.00000E+0, 1.00000E+1, 0.00000E+0, 0.00000E+0
7.00000E+1, 5.90337E-9, 2.01868E-10, 0.00000E+0, 1.00000E+1, 0.00000E+0, 0.00000E+0
8.00000E+1, 6.75044E-9, 3.79265E-10, 0.00000E+0, 1.00000E+1, 0.00000E+0, 0.00000E+0
9.00000E+1, 7.59200E-9, 1.54821E-10, 0.00000E+0, 1.00000E+1, 0.00000E+0, 0.00000E+0
1.00000E+2, 8.44787E-9, 3.63051E-10, 0.00000E+0, 1.00000E+1, 0.00000E+0, 0.00000E+0
1.10000E+2, 9.30376E-9, 6.82823E-11, 0.00000E+0, 1.00000E+1, 0.00000E+0, 0.00000E+0
1.20000E+2, 1.01461E-8, 3.30171E-10, 0.00000E+0, 1.00000E+1, 0.00000E+0, 0.00000E+0
1.30000E+2, 1.09963E-8, 6.57072E-11, 0.00000E+0, 1.00000E+1, 0.00000E+0, 0.00000E+0
1.40000E+2, 1.18633E-8, 2.91928E-10, 0.00000E+0, 1.00000E+1, 0.00000E+0, 0.00000E+0
1.50000E+2, 1.27260E-8, 1.76514E-10, 0.00000E+0, 1.00000E+1, 0.00000E+0, 0.00000E+0
