Real Time,Time [s],Process Value(A) [°C],Set Value(A) [°C],Hot Power(A) [%],Cool Power(A) [%],Process Value(B) [°C],Set Value(B) [°C],Hot Power(B) [%],Cool Power(B) [%],Ch.1[SCCM],Ch.2[SCCM],Ch.3[SCCM],Ch.4[SCCM],Ch.5[SCCM],Ch.6[SCCM],Ch.7[SCCM],Ch.8[SCCM],Ch.9[SCCM],Ch.10[SCCM],Humidity(A) [%RH],Temperature(A) [°C],Humidity(B) [%RH],Temperature(B) [°C],Wet gas [SCCM],Dry gas [SCCM],Gauge 1 [TORR],Gauge 2 [TORR],0 [SCCM],0 [SCCM],Valve [%],Voltage [V],Current [A],Resistance [Ω]
2026-03-26 09:26:50.073050,0,17.0,17.0,0.1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2026-03-26 09:26:51.072824,1,17.0,18.0,0.3,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2026-03-26 09:26:52.072602,2,17.0,18.0,0.6,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2026-03-26 09:26:53.074380,3,17.0,18.0,0.8,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2026-03-26 09:26:54.069187,4,17.0,18.0,1.1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2026-03-26 09:26:55.068936,5,17.0,18.0,1.4,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2026-03-26 09:26:56.068714,6,17.0,18.0,1.7,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2026-03-26 09:26:57.069491,7,17.0,19.0,2.1,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2026-03-26 09:26:58.069269,8,17.0,19.0,2.5,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2026-03-26 09:26:59.069048,9,17.0,19.0,2.9,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2026-03-26 09:27:00.068840,10,17.0,19.0,3.3,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2026-03-26 09:27:01.071603,11,17.0,19.0,3.8,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2026-03-26 09:27:02.069415,12,17.0,19.0,4.3,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2026-03-26 09:27:03.069158,13,17.0,20.0,4.8,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2026-03-26 09:27:04.070938,14,17.0,20.0,5.4,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2026-03-26 09:27:05.068714,15,17.0,20.0,5.9,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2026-03-26 09:27:06.069492,16,17.0,20.0,6.6,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2026-03-26 09:27:07.069270,17,17.0,20.0,7.2,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
