Voltage (V), Current (A), Standard Deviation (A), Pressure (Torr), Measurement delay (s), TC7, TC8
0.00000E+0, -5.12200E-12, 4.21637E-15, 0.00000E+0, 1.50000E+1, 0.00000E+0, 0.00000E+0
5.00000E+0, 5.33620E-11, 1.39841E-14, 0.00000E+0, 1.50000E+1, 0.00000E+0, 0.00000E+0
1.00000E+1, 1.13042E-10, 3.72344E-13, 0.00000E+0, 1.50000E+1, 0.00000E+0, 0.00000E+0
1.50000E+1, 1.73730E-10, 3.28803E-13, 0.00000E+0, 1.50000E+1, 0.00000E+0, 0.00000E+0
2.00000E+1, 2.34945E-10, 2.79970E-13, 0.00000E+0, 1.50000E+1, 0.00000E+0, 0.00000E+0
2.50000E+1, 2.96697E-10, 2.41203E-13, 0.00000E+0, 1.50000E+1, 0.00000E+0, 0.00000E+0
3.00000E+1, 3.59161E-10, 2.09149E-13, 0.00000E+0, 1.50000E+1, 0.00000E+0, 0.00000E+0
3.50000E+1, 4.21965E-10, 3.88766E-13, 0.00000E+0, 1.50000E+1, 0.00000E+0, 0.00000E+0
4.00000E+1, 4.85122E-10, 2.42661E-13, 0.00000E+0, 1.50000E+1, 0.00000E+0, 0.00000E+0
4.50000E+1, 5.48939E-10, 5.57304E-13, 0.00000E+0, 1.50000E+1, 0.00000E+0, 0.00000E+0
5.00000E+1, 6.13344E-10, 3.30931E-13, 0.00000E+0, 1.50000E+1, 0.00000E+0, 0.00000E+0
5.50000E+1, 6.67528E-10, 3.47709E-12, 0.00000E+0, 1.50000E+1, 0.00000E+0, 0.00000E+0
6.00000E+1, 7.27403E-10, 1.62726E-12, 0.00000E+0, 1.50000E+1, 0.00000E+0, 0.00000E+0
6.50000E+1, 8.04727E-10, 8.66642E-13, 0.00000E+0, 1.50000E+1, 0.00000E+0, 0.00000E+0
7.00000E+1, 8.71116E-10, 2.36700E-13, 0.00000E+0, 1.50000E+1, 0.00000E+0, 0.00000E+0
7.50000E+1, 9.34984E-10, 3.67182E-12, 0.00000E+0, 1.50000E+1, 0.00000E+0, 0.00000E+0
8.00000E+1, 1.00270E-9, 4.86922E-13, 0.00000E+0, 1.50000E+1, 0.00000E+0, 0.00000E+0
8.50000E+1, 1.06809E-9, 1.97734E-13, 0.00000E+0, 1.50000E+1, 0.00000E+0, 0.00000E+0
9.00000E+1, 1.13456E-9, 5.91707E-13, 0.00000E+0, 1.50000E+1, 0.00000E+0, 0.00000E+0
9.50000E+1, 1.20104E-9, 4.82757E-13, 0.00000E+0, 1.50000E+1, 0.00000E+0, 0.00000E+0
1.00000E+2, 1.26719E-9, 3.70407E-13, 0.00000E+0, 1.50000E+1, 0.00000E+0, 0.00000E+0
